annee_de_lappel_a_projets,appel_a_projets,code_des_thematiques,code_des_destinations,action,acronyme_du_projet,description_du_projet,identifiant_de_projet,flag_projet_coordonne,nom_de_actions_groupees,free_keywords,thematique_anglais,thematique_en_francais,topic,coordinator,all_partners
2023,HORIZON-CL4-2023-DIGITAL-EMERGING-01-CNECT,CLUSTER 4-Digital,Destination 4 - DIGITAL,Research and Innovation actions,GRASP,"Flexible Electronics has been one of the fastest developing technologies in recent decades. The traditional path is electronic components such as silicon chips (e.g., microcontrollers) integrated onto flexible substrates called “hybrid integration” or “flexible hybrid electronics” in integrated smart systems. We believe that this approach is not a viable long-term solution for future high-volume, low-cost and conformable integrated smart systems. Our vision is an integrated smart system that is built with only flexible electronic components including analogue circuitry, digital logic and memories. We call such a system a “Natively Flexible Integrated Smart System” or NFISS. NFISSes will enable new products in the Fast Moving Consumer Goods and healthcare wearables that have not been possible before because conventional silicon chips are too costly, too bulky and not conformable. The project will develop a flexible microcontroller unit (FlexMCU), which is the key component missing to enable NFISSes. The FlexMCU must be a low-power chip integrating a variety of functionality to address the functional requirements of the applications in FMCG and healthcare wearables. A novel hybrid complementary low-power thin-film transistor technology (100x per-transistor power reduction) will be developed to fabricate the FlexMCU in a sustainable flexible chip fab with 100-1000x less environmental footprint. The FlexMCU design is tailored to a specific domain composed of an open-source RISC-V based processor with built-in security features, an analogue frontend, on-chip memory and other peripherals. Then, the FlexMCU will be assembled using novel assembly and bonding methods onto a flexible film, which is, in turn, integrated onto a flexible substrate along with other flexible electronic components to build the first proof-of-concept NFISS that will be validated on two healthcare wearable applications.",101134936,TRUE,Research and Innovation actions,"green semiconductors, flexible electronics, complementary tft device, flexible integrated circuits, flexible chip assembly",Digital,Numérique,HORIZON-CL4-2023-DIGITAL-EMERGING-01-11,Belgique,"Allemagne, France, Corée du Sud, Irlande, Royaume-Uni"
2021,HORIZON-CL6-2021-GOVERNANCE-01,CLUSTER 6,Destination 7 - GOVERNANCE,Coordination and support actions,Grazing4AgroEcology,"Grazing-based production systems have the proven potential to produce high quality food, to be beneficial to the competitiveness of farmers and animal welfare, as well as for other ecosystem services and are widely apreciated by the society. However, for many reasons grazing is generally declining in Europe, which is a threat for many ecosystem services. In Grazing4AgroEcology (G4AE), grazing farmers are for the first time at the centre of a thematic network, complementing other thematic networks such as Inno4Grass, EuroDairy, SheepNet, BovINE, HNVLink, etc. in providing solutions for sustainable, integrated grazing-based animal production systems. G4AE has 18 partners including farmers organisations, extension services, education, and research in eight countries (France, Germany, Ireland, Italy, The Netherlands, Portugal, Romania, & Sweden). The Partner Farm Network of G4AE of 120 Partner farms (15 per country) will enable the capture and implementation of best-practices and innovations to promote grazing for agroecology. Our 3-tier multi-actor approach based on co-creation and knowledge sharing will actively involve all relevant actors of the grazing AKIS including farmers, industry, education, researchers, advisors, society, etc. This will improve the uptake of the innovation capital and significantly contribute to the improvement of the transferability of best practices and innovations and will also enable cross linkage of OGs. G4AE will innovate the grazing sector by strengthening the capacity of farmers to understand more objectively their own agroecological performance through an integrated self-assessment. This will trigger farmers to strive for innovation. G4AE will boost digitalization through webinars, digital interactions, videos and media training. G4AE will provide a rich set of practical hands-on knowledge and training material for a vast community of current and future grazing farmers, available in a Knowledge & Information Management System.",101059626,TRUE,Coordination and support actions,"grazing, innovation, knowedge-sharing, multi-actor, akis",Bio-Environment,Bio-Environnement,HORIZON-CL6-2021-GOVERNANCE-01-28,Allemagne,"Suède, Allemagne, Pays-Bas, Portugal, Suède, Portugal, Irlande, Roumanie, Irlande, France, Italie, Italie, Italie, Pays-Bas, Roumanie, France, France"
2021,HORIZON-WIDERA-2021-ERA-01,ERA,ERA,Coordination and support actions,Green ERA-Hub,"The Green ERA-Hub (GEH) represents 15 currently active EU ERA-Net Cofunds and self-sustained initiatives in the field of Agri-food and biotechnology. Together with already ended predecessor initiatives, they represent 29 co-ordination actions in which more than 1100 Mio Euro funding has been mobilised via 89 transnational calls. The ERA-Net scheme is a success model for transnational co-operation of national research programmes. The partners consider GEH an ideal measure to continue and extend this fruitful co-operation. The aims of GEH are to: - continue to build on previous achievements and further enhance cross-sector collaborations between Agri-food and biotechnology ERA-Nets, through joint transnational funding of collaborative research projects - valorise and implement joint activities supporting the market, regulatory or societal uptake of results after the end of individual ERA-Nets - identify common research and innovation priorities, agreed upon by the participating national programmes, and address them via new joint calls - preserve best practice and managerial competences - contribute to the planning and complement the implementation of the new HEU Partnerships and Missions - broaden the actions and impact of initiatives towards stakeholders and in terms of geographical coverage - contribute to achieve the strategic goals of the SDGs, in particular zero hunger, industry innovation and infrastructure, responsible consumption and production, life on land, partnership for the goals, the farm2fork strategy and EU's Green Deal. GEH will provide clear perspectives for ERA-Net (Cofunds), national research funders and researchers in the Agri-food and biotechnology sector to find dedicated support at the level of information, communication, co-operation, networking and joint transnational funding that best fits their needs. In turn, GEH will contribute to maintaining and strengthening EU's highly competitive position in Agri-food and biotechnology research.",101056828,TRUE,Coordination and support actions,"cooperation, coordination, era-net cofunds, ejp, joint funding",Reforming and enhancing the European R&I System,Réformer et renforcer le système européen de la R&I,HORIZON-WIDERA-2021-ERA-01-09,Allemagne,"Pays-Bas, Irlande, Italie, France, Hongrie, Belgique, France, Royaume-Uni, Danemark, Allemagne, France"
2021,HORIZON-CL2-2021-HERITAGE-01,CLUSTER 2,Destination 2 - HERITAGE,Research and Innovation actions,GREENART,"European Cultural Heritage (CH) is a crucial resource that must be maintained, preserved and accessible, to counteract degradation enhanced by unfavorable environmental conditions and climate changes. Conservation methodologies lack durability, sustainability and cost-effectiveness, and are typically based on energy-consuming processes or non-environmentally friendly materials. Coping with these issues, GREENART proposes new solutions based on green and sustainable materials and methods, to preserve, conserve and restore CH: 1) Protective coatings based on green materials from waste and plant proteins, with self-healing and reversibility character, possibly functionalized with organic/inorganic nanoparticles to impart VOC capture, anti-corrosion and barrier behaviors. 2) Foams and packaging materials made by biodegradable/compostable polymers from renewable sources (polyurethanes and natural fibers) to control T/RH. 3) Consolidants based on natural polymers from renewable sources, to mechanically strengthen weak artifacts. 4) Gels and cleaning fluids inspired by the most advanced systems currently available to conservators, improving them according to green and circular economy. 5) Green tech solutions for monitoring CH assets non-invasively against pollutants and environmental oscillations. Life cycle Assessment and modeling will favor the “safe-by-design” creation of affordable solutions safe to craftspeople, operators and the environment, and minimize energy-consumption in monitoring museum environments. Such holistic approach is granted in GREENART by a multidisciplinary partnership that gathers hard and soft sciences and engineering, including academic centers, innovative industries and SMEs, conservation institutions and professionals, museums whose collections hold absolute masterpieces in need of conservation, public entities and policy makers. The latter will favour training and dissemination activities to make stakeholders familiar with the new methods.",101060941,TRUE,Research and Innovation actions,"sustainable art restoration, remedial and preventive conservation, cleaning, consolidation, green methods and materials, materials from renewable, raw sources, durable green polyfunctional materials","Culture, creativity and inclusive society","Culture, créativité et société inclusive",HORIZON-CL2-2021-HERITAGE-01-01,Italie,"Suède, Slovénie, Chine, Etats-Unis, Etats-Unis, Etats-Unis, Brésil, France, Italie, Italie, Allemagne, Allemagne, Irlande, France, Grèce, Japon, Italie, Brésil, Italie, Royaume-Uni, Espagne, Suède, Belgique, Suède, Japon, Hongrie, Grèce, Etats-Unis, Italie, Japon"
2022,HORIZON-CL4-2022-RESILIENCE-01,CLUSTER 4-Industry,Destination 2 - RESILIENCE,Research and Innovation actions,GREENCAP,"A paradigm shift in energy storage technology is needed to support the transition towards the climate-neutrality set by the EU’s international commitments under the Paris Agreement, while ensuring the targets of EU’s Action Plan on Critical Raw Materials (CRMs). In this context, GREENCAP joins a multi-disciplinary consortium with 5 Universities, 1 R&D Institute, 6 companies, located in 7 European countries (including Italy, Germany, France, Ireland, United Kingdom, Estonia, and Netherlands) and 1 non-EU country (Ukraine), to unlock the full potential of supercapacitors (SCs) as electrochemical energy storage systems. We will develop a CRM-free technology exhibiting a battery-like energy density (>20 Wh/kg, >16 Wh/L), together with the distinctive superior power densities and high cycle life of traditional electrochemical double layer capacitors. GREENCAP will exploit layered 2D materials, including graphene and MXenes as electrode materials, and ionic liquids (ILs) as high-voltage electrolyte. The main objectives of GREENCAP are: i) to syntheses/functionalize graphene and MXenes via facile, scalable and sustainable (CRM-free) methodologies, assuring both high surface area and ion accessibility, introducing Faradaic charge storage mechanisms, and improving their quantum capacitance; ii) to produce novel non-/low-toxic and non-/low-flammable IL-based electrolyte with high conductivities, and a high electrochemical/thermal stability, ensuring SC operation at voltage > 3.5 V within -50°C to +100 °C temperature range, thus eliminating the need for sophisticated cooling systems; iii) to validate the novel SC technology at industrial scale by fabricating cylindrical cells at a TRL 6 while ensuring the creation/existence of the complete value chain from material to cell producers; iv) to produce a novel supercapacitor management system, enabling the full potential of the GREECAP’s SCs in high-end applications, and ensuring their integration into the circular economy.",101091572,TRUE,Research and Innovation actions,"supercapacitors, critical raw materials, graphene, mxenes, ionic liquids, functionalization, interfaces",Industry,Industrie,HORIZON-CL4-2022-RESILIENCE-01-24,Italie,"France, Allemagne, Allemagne, Irlande, Allemagne, Pays-Bas, France, Italie, Ukraine, Royaume-Uni, Estonie"
2021,HORIZON-CL5-2021-D2-01,CLUSTER 5-Energy,Destination 2 - D2,Coordination and support actions,GREENET,"The overall aim of GREENET is to improve the professionalisation and skills of the Cluster 5 (CL5) National Contact Points (NCPs) across Europe, simplifying applicants’ access to Horizon Europe (HE) calls and raising the average quality of submitted proposals. Starting from the assumption that the NCP role is crucial in order to raise the participation in HE in terms of both quality and quantity, the GREENET overall concept is that the CL5 NCP community requires knowledge, skills, competences and a proven comprehensive suite of tools to convey a message in a multicultural and multi-disciplinary environment such as CL5 and to effectively support its broad based constituency. Therefore, the project is based on three pillars: (i) NCPs capacity building and competence development, (ii) development of targeted and high quality services (events and tools) for CL5 applicants and stakeholders , (iii) CL5 community building and general mainstreaming of CL5 NCPs in Horizon Europe.",101069604,TRUE,Coordination and support actions,"competence development, capacity building, cl5 ncps collaboration, cl5 ncps community, stakeholders engagement, awareness raising, newcomer applicants, matchmaking, synergies with relevant actors",Energy,Energie,HORIZON-CL5-2021-D2-01-15,Italie,"Allemagne, Pays-Bas, Rép. Tchèque, Pologne, Chypre, Grèce, Turquie, Belgique, Finlande, Royaume-Uni, Portugal, Islande, Espagne, France, Malte, Luxembourg, Irlande, Estonie"
2021,HORIZON-CL5-2021-D3-02,CLUSTER 5-Energy,Destination 3 - D3,Coordination and support actions,GSEU,"We aim to contribute to the European Green Deal, the UN Sustainable Development Goals and the Horizon Europe objectives through the development of a Geological Service for Europe, which focuses on the planet itself: the earth beneath our feet. The subsurface holds indispensable resources for European industries and opportunities to decarbonise our economy, but also requires careful management to preserve a healthy and safe living environment for Europe’s citizens. Structurally addressing the EU dimension in geological services is needed because the scale of many societally and economically relevant geological features exceeds that of individual countries. Addressing transnational and continental-scale problems requires innovation, standardisation, harmonisation as well as a shared vision. We aim to build the Geological Service for Europe based on Europe’s best practices and implement the Service with the backing of the Union. Existing geological surveys, the national custodians of geological information, have amassed huge legacies of data and information that are difficult to merge. This project will continue the harmonisation and standardisation effort initiated in earlier projects. We aim to create joint services that can support acceleration of the energy and climate transitions, as well as a larger critical mass of intra-European cooperation through convergence of our research agendas, as key steps to increase the amount and quality of results we are aiming for. A common thread in this project is innovation in ways in which subsurface information is conceptualised, organised, visualised, delivered and translated to the needs of a wide range of audiences, and the methodologies to achieve this. Building on the groundwork laid in the GeoERA program, we will scale up and out, not only scientifically, but also in involving national stakeholders in the network, in order to create support and eventually obtain a mandate for a European Service on a permanent basis.",101075609,TRUE,Coordination and support actions,"critical raw materials, sustainable geo-energy, groundwater, coastal vulnerability, offshore windparks, information infrastructure, geological services",Energy,Energie,HORIZON-CL5-2021-D3-02-14,Belgique,"Norvège, Grèce, Belgique, Belgique, France, Rép. Tchèque, Islande, Irlande, Espagne, Allemagne, Suisse, Belgique, Pologne, Slovaquie, Croatie, Lettonie, Ukraine, Estonie, Ukraine, Ukraine, Albanie, Ukraine, Norvège, Serbie, Bosnie-Herzégovine, Danemark, Hongrie, Royaume-Uni, Luxembourg, Allemagne, Autriche, Italie, Portugal, Lituanie, Slovénie, Finlande, Portugal, Suède, Chypre, Danemark, Allemagne, Italie, Malte, Pays-Bas, Espagne, Allemagne, Roumanie"
2021,HORIZON-INFRA-2021-DEV-02,INFRA,INFRADEV,Coordination and support actions,GUIDEPREP,"The Growing Up in Digital Europe Preparatory Phase (GUIDEPREP) project further develops the research infrastructure (RI) necessary to implement the GUIDE birth cohort study. This preparatory work will take place across 2022 to 2025 to ready the RI for the full-scale piloting of the GUIDE in 2026 and the first full wave of data collection in 2027. Once operational, GUIDE will collect data about individual children growing up in Europe until those children are aged 24-years in approximately 2053. GUIDE will be Europe’s first comparative birth cohort study of children’s and young people’s wellbeing. The aim of the GUIDE study is to track children’s personal wellbeing and development, in combination with key indicators of children’s homes, neighbourhoods, and schools, across Europe. GUIDE will be an accelerated cohort survey including a sample of infants as well as a sample of school age children. Each Member State and Associated Country will provide nationally representative samples that are designed to retain statistical power throughout the lifetime of the study. The harmonized design will create the first internationally comparable, nationally representative, longitudinal study of children and young people in Europe. Currently the GUIDE RI is in its preparatory phase, which involves the establishment of necessary operational procedures and further crystallisation of the study concept and design. To realise the GUIDE full-scale pilot in 2026 and first wave of fieldwork in 2027, the RI needs to develop administratively, technologically, financially, scientifically, and legally. This GUIDEPREP proposal lays out clear aims for these developments in an interlocking system of activities that are shared across consortium partners and managed by the GUIDE leadership team.",101078945,TRUE,Coordination and support actions,"guide, european cohort study of children's wellbeing",Research infrastructures,Infrastructures de recherche,HORIZON-INFRA-2021-DEV-02-01,Irlande,"Hongrie, Royaume-Uni, Malte, Luxembourg, Croatie, Allemagne, Norvège, France, Belgique, Belgique, Royaume-Uni, Pays-Bas, Grèce, Espagne, Allemagne, Portugal, Finlande, Slovénie, Lettonie, Slovaquie, Italie, Estonie"
2022,HORIZON-MSCA-2022-SE-01,MSCA,NA,Marie Skłodowska-Curie actions,HarmonicAI,"Artificial Intelligence (AI) is one of the most significant pillars for the digital transformation of modern healthcare systems which will leverage the growing volume of real-world data collected through wearables and sensors, and consider multitude of complex interactions between diseases and individual/population. While AI-enabled digital health services and products are rapidly expanding in volume and variety, most of the AI innovations remain in the form of proof-of-concept. There is a continuous debate regarding whether AI is worthy of trust. The EU AI HLEG has defined that trustworthy AI systems should be lawful, ethical and robust. To translate it into actionable practices, provision of explainability, fairness and privacy is crucial. A considerable volume of research has been conducted in the areas of explainable AI, fair AI and privacy-preserving AI. However, the current research efforts to tackle the three challenges are fragmented and have culminated in a variety of solutions with heterogeneous, non-interoperable, or even conflicting capabilities. The ambitious vision of HarmonicAI is to build a human-machine collaborative multi-objective design framework to foster coherently explainable, fair and privacy-preserving AI for digital health. HarmonicAI draws together proven experts in AI, health care, IoT, data science, privacy, cyber security, software engineering, HCI and industrial design with an underlying common aim to develop concrete technical and operational guidelines for AI practitioners to design human-centered, domain-specific, requirement-oriented trustworthy AI solutions, accelerating the scalable deployment of AI-powered digital health services and offering assurance to the public that AI in digital health is being developed and used in an ethical and trustworthy manner.",101131117,TRUE,Marie Skłodowska-Curie actions,"trustworthy ai, ai-powered digital health, explainable ai, ai fairness, privacy-preserving ai, ai security, human in the loop, human-machine collaborative design",Marie Skłodowska-Curie,Marie Skłodowska-Curie,HORIZON-MSCA-2022-SE-01-01,Portugal,"Irlande, Pays-Bas, Royaume-Uni, France, Thaïlande, Finlande, Royaume-Uni, Portugal, Royaume-Uni, France, Portugal, Portugal, France, Canada, Royaume-Uni"
2021,HORIZON-CL3-2021-CS-01,CLUSTER 3,Destination 4 - CS,Research and Innovation actions,HARPOCRATES,"Availability of large volumes of user data combined with tailored statistical analysis present a unique opportunity for organizations across the spectrum to adapt and finetune their services according to individual needs. Having shown remarkable results in analyzing user data, machine learning models attracted global adulation and are applied in a plethora of applications including medical diagnostics, pattern recognition, and threat intelligence. However, such service improvements and personalization based on user data analysis come at the heavy cost of privacy loss. Furthermore, practice showed that systems that use such models incorporate proxies that are often inexact, biased and often unfair. In HARPOCRATES, we focus on setting the foundations of digitally blind evaluation systems that will, by design, eliminate proxies such as geography, gender, race, and others and eventually have a tangible impact on building fairer, democratic and unbiased societies. To do so, we plan to design several practical cryptographic schemes (Functional Encryption and Hybrid Homomorphic Encryption) for analyzing data in a privacy-preserving way. Besides processing statistical data in a privacy-preserving way, we also aim to enable a richer, more balanced and comprehensive approach where data analytics and cryptography go hand in hand with a shift towards increased privacy. In HARPOCRATES we will first show how to effectively combine cryptography with the principles of differential privacy to secure and privatise databases. Next, we will build privacy-preserving machine learning models able to classify encrypted data by performing high accuracy predictions directly on ciphertexts across federated data spaces. Finally, to demonstrate how these solutions respond to users’ needs, we will implement two real-world cross-border data sharing scenarios related to health data analysis for sleep medicine and threat intelligence for local authorities.",101069535,TRUE,Research and Innovation actions,"threat intelligence, functional encryption, hybrid homomorphic encryption, differential privacy, multiparty computation, privacy-preserving machine learning",Civil Security for Society,Sécurité civile pour la société,HORIZON-CL3-2021-CS-01-04,Finlande,"Allemagne, Serbie, Suède, Espagne, Italie, Irlande, Espagne, Allemagne, Finlande, Royaume-Uni, France, Suède"
2023,HORIZON-CL4-2023-HUMAN-01-CNECT,CLUSTER 4-Digital,Destination 6 - HUMAN,Research and Innovation actions,HEAT,"Hybrid Extended reAliTy (HEAT) is born to pave the way for the next-generation distributed experiences by addressing major challenges to make those experiences that up to now could only be in our imagination: being realistically immersed (holo-ported) within real captured omnidirectional and navigable hyper-realistic 3D spaces, feeling their atmosphere, and sharing these experiences with others, regardless of their location. The aim of this proposal is to integrate immersive media technologies such as point cloud/holographic imaging, multi-sensorial media, Social VR in a multi-user, feedback-enabled communication system to provide the construction of compelling context-aware and embodied experiences for innovative hybrid XR applications, where remote users can experience a real captured environment through immersive VR, while in presence users can visualise and interact with the holograms of remote users integrated in the real environment through holographic rendering. The system will aim at facilitating the exploitation of agile (multi-sensory) 3D data acquisition techniques, enhancing performance while reducing technology costs. It will create a scalable communication pipeline embodying either encapsulation of different media from classical audio-video to multisensorial to holographic video or a combination of them, providing means for efficient and scalable encoding, processing, storage, (real-time) streaming and rendering. In such a way, the system will allow users to provide/exploit the features according to the acquisition/rendering system available. The project will provide well designed and fully tested scenarios in real-world environments for enhanced XR experiences: a blended learning, a modern theatre act, a music festival and an opera show. All pilot actions will ensure that GDPR and ethics are addressed for end-users (privacy and ethics by design methodology).",101135637,TRUE,Research and Innovation actions,"xr, multi-sensory, social, holography",Digital,Numérique,HORIZON-CL4-2023-HUMAN-01-21,Italie,"Irlande, Italie, Belgique, Irlande, Espagne, France, Roumanie, Hongrie, Roumanie, Italie, Italie, Irlande, Roumanie, Suisse"
2022,HORIZON-JU-Clean-Aviation-2022-01,JU-JTI,CLEAN-AVIATION,Innovation actions,HECATE,"Aviation needs to meet the ambitious targets of the European Green Deal. This means a step change is needed towards hybrid electric regional aircraft to significantly reduce the fuel burn. This can only be accomplished with power distribution networks that can safely handle the high power and high voltage levels, ultimately up to several Megawatt. The HECATE project will address the associated challenges of system weight and power density, high voltage challenges with lightning, arcing and electromagnetic interference as well as optimized thermal management, in addition to digitizing the design process with digital twins. This will lead to transformative technology bricks, which are holistically optimized at system integration architecture level. The HECATE project will demonstrate a >500 kW architecture in a copper bird at TRL5. This will provide a clearer understanding of high voltage challenges and how to mitigate them, with a scalability roadmap towards CAJU Phase 2 flight demonstration and exploitation in a 2035 new built Hybrid Electric Regional aircraft. Also, environmental impact and LCA will be assessed. For optimal alignment and ensuring certifiability, HECATE will establish relationships with other Clean Aviation projects (e.g. HER-01 for MW propulsion, HER-02 for thermal, TRA-01 for architecture, TRA-02 for certification) and authorities and standards groups (e.g. EASA, EUROCAE). As a set of key enabling technologies that are well integrated, HECATE will contribute to the Clean Aviation SRIA and its expected impacts, and fully fulfill the call's expected outcomes. The 37-member consortium mobilizes key EU based industries throughout the entire existing supply chain: from aircraft OEMs to system integrators, to system and subsystems suppliers, 5 of which are SMEs. 17 RTOs, complement and reinforce the industries, which also ensures knowledge gained is embedded in future research and education programs. HECATE requests 34 210 348€ of grant.",101101961,TRUE,Innovation actions,"hybrid electric regional aircraft, electric distribution technologies, high voltage, pohybrid, electric, regional aircraft, distribution technologies, high voltage, digital twin, life cycle assessment",Public-private partnerships,Partenariats public-privé,HORIZON-JU-CLEAN-AVIATION-2022-01-HER-03,Irlande,"Pologne, Italie, France, France, Espagne, Espagne, Italie, Pays-Bas, Pays-Bas, Italie, Danemark, Royaume-Uni, Portugal, Pologne, Allemagne, France, Espagne, France, France, Italie, Allemagne, France, Allemagne, Allemagne, Espagne, France, France, Italie, Italie, Espagne, Royaume-Uni, Espagne, Autriche, Espagne, Allemagne, Royaume-Uni"
2023,HORIZON-CL5-2023-D3-01,CLUSTER 5-Energy,Destination 3 - D3,Innovation actions,HEDGE-IoT,"HEDGE-IoT proposes a novel Digital Framework which aims to deploy IoT assets at different levels of the energy system (from behind-the-meter, up to the TSO level), to add intelligence to the edge and cloud layers through advanced AI/ML tools and to bridge the cloud/edge continuum introducing federated applications governed by advanced computational orchestration solutions. The HEDGE-IoT Framework will upgrade the RES-hosting capacity of the energy systems and will unleash a previously untapped flexibility potential. It will increase the resilience of the grid, create new market opportunities and promote advances in IoT standardization, by introducing and managing a plethora of diversified, interoperable energy services over scalable and highly distributed data platforms and infrastructure. The multi-dimensional framework of HEDGE-IoT comprises the following pillars: (a) the Technology Facilitator Pillar will exploit the computational sharing by offloading applications on the grid edge, towards providing a set AI/ML federated learning and swarm computing applications; (b) the Interoperability Pillar, which leverages on leading-edge interoperable architectures, such as the Data Space architectures; (c) the Standardisation Pillar will enable all involved platforms, systems, tools and actors to seamlessly communicate and exchange data in standardized formats using widely used standards, such as SAREF, etc.; (d) the Digital Energy Ecosystem Enabling Pillar will ensure the creation of an ecosystem facilitating the increased integration of RES and characterised by resilience. Liaisons with EU initiatives for IoT and digitalisation will be established (e.g., the AIOTI) and the engagement of stakeholders will be ensured by addressing IoT ethics and cultivating trust among end-users, thus promoting inclusivity. Scalability and replicability studies will be performed and connections with innovators and SMEs will be established through the Open Call mechanism of the project.",101136216,TRUE,Innovation actions,"ai, ml, internet of things, saref, data space, edge processing, digitalization of power system",Energy,Energie,HORIZON-CL5-2023-D3-01-15,Luxembourg,"Allemagne, Croatie, Grèce, Grèce, Finlande, Grèce, Portugal, Portugal, Grèce, Allemagne, Pays-Bas, Grèce, Belgique, Roumanie, Slovénie, Grèce, Grèce, Finlande, Slovénie, Italie, Portugal, Grèce, Slovénie, Grèce, Portugal, Slovénie, Pays-Bas, Portugal, Croatie, Italie, Finlande, Irlande, Italie, Portugal, Finlande, Finlande, Pays-Bas, Italie, Italie, Portugal, Croatie, France, Grèce"
2022,HORIZON-EIE-2022-SCALEUP-02,SCALEUP,SCALEUP,Coordination and support actions,HER FUND,"European innovation performance continues to increase, yet inequalities, particularly in access to investment, are still noteworthy. There is a need to close the performance gaps, which are still visible between Strong Innovators (North and West EU) and Moderate and Emerging Innovators (South and East EU mostly). A major asset to successful and sustainable business growth relies upon awareness and strong communication between innovative sectors and investors on available resources, their access and interventions by public/private funders. Improving networking between innovation ecosystems is key to the success of growing businesses and driving continued economic development. HER FUND’s ambition is to foster knowledge-sharing and synergies between innovation actors, existing initiatives/projects in order to support the next generation of startups, with an emphasis on women-led companies and gender-conscious investors. These interactions will notably lead to best practices’ identification, capacity-building activities and guidelines. Strengthening and broadening an interregional collaboration hub will promote a more competitive EU and a more sustainable, inclusive, diverse and resilient world. This will be done in a community-driven, cross-functional, cross-sectoral, multiplier based way, with partners bringing together communities of experts from different deep-tech sectors from around Europe and beyond. HER FUND will 1) transform less connected territories into recognized and attractive innovation valleys that pool and reward investments, 2) create bridges between EU innovation ecosystems increasing access to capital and investment in less connected innovation ecosystems and allowing local start-ups benefiting from foreign investments, 3) raise the number of gender conscious investors in Europe for support to women-led companies, 4) boost women entrepreneurship, especially in Moderate and Emerging Innovators offering them access to more funding opportunities",101114167,TRUE,Coordination and support actions,"women entrepreneurship, women-led companies",Elevating the scalability potential of European business,Soutien à la compétitivité et le scaleup des écosystèmes innovants,HORIZON-EIE-2022-SCALEUP-02-01,Bulgarie,"Grèce, Danemark, Portugal, France, Irlande, Bulgarie, France, Slovaquie"
2022,HORIZON-JU-Clean-Aviation-2022-01,JU-JTI,CLEAN-AVIATION,Innovation actions,HERA,"HERA will identify and trade-off the concept of a regional aircraft, its key architectures, develop required aircraft-level technologies and integrate the required enablers in order to meet the -50% technology-based GHG emission set in SRIA for a Hybrid-Electric Regional Aircraft. The HERA aircraft, having a size of approximately of 50-100 seats, will operate in the regional and short-range air mobility by mid-2030 on typical distances of less than 500 km (inter-urban regional connections). The aircraft will be ready for future inter-modal and multi-modal mobility frameworks for sustainability. The HERA aircraft will include hybrid-electric propulsion based on batteries or fuel cells as energy sources supported by SAF or hydrogen burning for the thermal source, to reach up to 90% lower emissions while being fully compliant with ICAO noise rules. The HERA aircraft will be ready for entry into service by mid-2030, pursuing to the new certification rules, able to interact with new ground infrastructure, supporting new energy sources. This will make HERA aircraft ready for actual revenue service offering to operators and passengers sustainable, safe and fast connectivity mean at low GHG emissions HERA will quantitatively trade innovative aircraft architectures and configurations required to integrate several disruptive enabling technologies including high voltage MW scale electrical distribution, thermal management, new wing and fuselage as well as the new hybrid-electric propulsion and related new energy storage at low GHG. To support this unprecedented integration challenge, HERA will develop suitable processes, tools and simulation models supporting the new interactions, workshare in the value chain and interfaces among systems and components. HERA will also elaborate on the future demonstration strategy of a hybrid–electric regional aircraft in Phase 2 of Clean Aviation to support the high TRL demonstration required for an early impact for HERA solutions.",101102007,TRUE,Innovation actions,"hybrid-electric, aircraft, disruptive, hybrid-electric propulsion, sustainable",Public-private partnerships,Partenariats public-privé,HORIZON-JU-CLEAN-AVIATION-2022-01-TRA-01,Italie,"Israël, Espagne, Espagne, Italie, France, Italie, Italie, Italie, Allemagne, Portugal, Allemagne, Allemagne, Belgique, Espagne, France, France, France, France, Italie, Italie, Italie, Italie, Roumanie, Allemagne, Italie, Pays-Bas, Italie, Rép. Tchèque, Espagne, Royaume-Uni, Grèce, Allemagne, Espagne, Pays-Bas, France, Pays-Bas, Allemagne, Espagne, Irlande, France, France, Belgique, Pologne, Portugal, Royaume-Uni, Italie, Portugal"
